"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"306",0,0,0,0,0,0,0,0,0,0,2
"307",0,0,0,0,0,0,0,5,1,0,6
"308",0,0,0,0,0,0,0,0,0,0,10
"309",0,0,0,0,0,0,0,9,0,0,13
"310",0,0,0,0,0,0,0,0,0,0,2
"311",0,0,0,0,0,0,0,0,0,0,2
"312",0,0,0,0,0,0,0,0,6,0,2
"313",0,0,0,0,0,0,0,0,2,0,2
"314",0,0,0,0,0,0,0,0,0,0,2
"315",0,0,0,0,0,0,0,0,0,0,2
"316",0,0,0,0,0,0,0,2,0,0,0
"317",0,0,0,0,0,0,0,0,2,0,0
"318",0,0,0,0,0,0,0,2,1,0,1
"319",0,0,0,0,0,0,0,0,0,0,2
"320",0,0,0,0,0,0,0,0,0,0,3
"321",0,0,0,0,0,0,0,15,0,0,5
"322",0,0,0,0,0,1,0,0,0,0,2
"323",0,0,0,0,0,0,0,0,2,0,0
"324",0,2,0,0,0,0,0,0,0,0,1
"325",0,0,0,0,0,0,0,0,1,0,1
"326",1,0,0,0,0,39,0,0,0,0,1
"327",0,0,0,0,0,0,0,3,0,0,1
"328",4,0,0,0,0,0,0,0,1,0,4
"329",0,0,0,0,0,0,0,1,0,0,1
"330",0,0,0,0,0,0,0,0,0,0,8
"331",0,0,0,0,0,0,0,0,0,0,2
"332",0,0,0,0,0,0,0,4,0,0,4
"333",4,0,0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0,6,1,0,10
"335",0,0,0,0,0,0,0,0,4,0,2
"336",0,0,0,0,0,0,0,1,1,0,0
"337",0,0,0,0,0,0,0,25,0,0,3
"338",0,0,0,0,0,0,0,0,0,0,2
"339",0,0,0,0,0,0,0,0,10,0,2
"340",9,0,0,0,0,0,0,0,0,0,1
"341",42,0,1,0,0,1,0,0,0,0,2
"342",0,0,0,0,0,0,0,0,0,0,8
"343",0,0,0,0,1,0,0,0,0,0,2
"344",0,0,0,0,0,0,0,14,0,0,3
"345",0,0,0,0,0,0,0,0,0,0,2
"346",0,0,0,0,0,0,0,1,0,0,2
"347",11,0,10,0,0,0,0,0,10,0,15
"348",0,0,0,0,0,0,0,0,0,0,2
"349",0,0,0,0,0,0,0,0,0,0,10
"350",0,0,1,0,0,0,0,0,0,0,1
"351",0,0,0,0,0,0,0,0,2,0,0
"352",0,0,0,0,0,0,2,0,0,0,1
"353",0,0,0,0,0,0,5,0,0,0,13
"354",3,0,0,0,0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0,8,1,0,2
"356",0,0,0,0,0,0,0,0,0,0,2
"357",0,0,0,0,0,0,0,0,6,0,0
"358",0,0,0,0,0,0,0,0,0,0,3
"359",0,0,0,0,0,0,0,0,0,0,28
"360",5,0,0,0,0,0,0,0,0,0,1
"361",0,0,0,0,0,0,0,0,0,0,2
"362",1,0,0,0,0,0,0,0,0,0,6
"363",0,0,0,0,0,0,0,2,0,0,2
"364",4,0,0,0,0,0,0,0,0,0,4
"365",0,0,0,0,0,0,0,0,5,0,1
"366",0,0,0,0,0,0,0,0,0,0,2
"367",0,0,0,0,0,0,0,5,0,0,6
"368",0,0,0,0,0,0,0,0,0,0,2
"369",0,0,0,0,0,0,0,0,6,0,0
"370",0,0,0,0,1,0,0,0,0,0,1
"371",0,0,0,0,0,0,0,4,0,0,1
"372",0,0,0,0,0,0,0,0,3,0,0
"373",0,0,0,0,0,0,0,9,0,0,3
"374",0,0,0,0,0,0,0,0,1,0,3
"375",0,0,0,0,0,0,0,0,19,0,6
"376",0,0,0,0,0,0,0,8,0,0,8
"377",0,0,0,0,0,0,0,0,0,0,2
"378",0,0,0,0,0,0,0,0,0,0,2
"379",4,0,0,0,0,0,0,0,0,0,4
"380",0,0,0,0,1,0,0,0,0,0,1
"381",0,0,0,0,0,0,0,0,0,0,4
"382",0,0,0,0,0,0,0,0,0,0,2
"383",0,0,0,0,0,0,0,0,0,0,5
"384",0,0,0,0,0,0,0,0,0,0,13
"385",9,0,0,0,0,0,0,0,0,0,2
"386",0,0,0,0,0,0,0,7,0,0,2
"387",0,0,0,0,0,0,0,5,0,0,0
"388",0,0,0,0,0,0,0,0,0,0,3
"389",0,0,0,0,0,0,0,0,0,0,2
"390",0,0,0,0,0,0,0,0,0,0,10
"391",0,0,0,0,0,0,0,1,0,0,1
"392",0,0,0,0,0,0,0,0,0,0,10
"393",0,0,0,0,0,0,0,0,12,0,1
"394",0,0,0,0,0,0,0,0,0,0,3
"395",0,0,0,0,0,0,0,33,1,0,14
"396",0,0,0,0,0,4,0,0,0,0,2
"397",0,0,0,0,0,0,0,0,3,0,5
"398",0,0,0,0,0,0,0,0,0,0,2
"399",0,0,0,0,0,0,11,0,1,0,16
"400",0,0,0,0,0,0,0,0,2,0,11
"401",0,0,0,0,1,0,0,0,0,0,1
"402",0,0,0,0,0,0,0,0,0,0,24
"403",0,0,0,0,0,0,0,0,0,0,4
"404",0,0,0,0,0,0,0,3,0,0,2
"405",0,0,0,0,0,0,0,0,0,0,2
"406",0,0,0,0,0,0,0,26,2,0,17
"407",0,0,0,0,0,0,0,0,0,0,2
"408",0,0,0,0,0,0,0,0,20,0,10
"409",0,0,0,0,0,0,1,0,0,0,2
"410",0,0,0,0,0,0,0,0,1,0,2
"411",0,0,0,0,0,0,0,0,0,0,2
"412",0,0,0,0,0,0,0,0,0,0,2
"413",0,0,0,1,0,6,0,0,0,0,2
"414",0,0,0,0,0,0,0,0,0,0,3
"415",0,0,0,0,0,0,0,0,0,0,2
"416",0,0,0,0,0,0,0,6,29,0,15
"417",0,0,0,0,0,0,0,4,0,0,3
"418",0,0,0,0,0,0,0,10,28,0,18
"419",0,0,0,0,0,0,0,0,0,0,2
"420",0,0,0,0,0,0,0,0,0,0,2
"421",1,0,0,0,0,0,0,0,0,0,1
"422",0,0,0,0,0,0,0,2,0,0,0
"423",0,0,0,0,0,0,0,0,0,0,8
"424",0,0,0,0,3,0,0,0,0,0,1
"425",0,0,0,0,0,0,0,0,1,0,1
"426",2,0,0,0,0,0,0,0,0,0,0
"427",1,0,0,0,0,0,0,0,0,0,1
"428",14,0,0,0,0,0,0,0,0,0,2
"429",0,0,0,0,0,0,0,0,0,0,6
"430",0,0,0,0,0,0,0,0,0,0,19
"431",0,0,0,0,0,0,0,0,0,0,5
"432",0,0,0,0,0,0,0,0,6,0,1
