"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"630",0,0,0,0,0,0,0,1,0,0,1
"633",2,0,0,0,0,0,0,0,0,0,0
"634",0,0,0,0,0,0,0,3,11,0,37
"638",0,0,0,0,0,0,0,0,0,0,3
"641",2,0,0,0,0,0,0,0,0,0,0
"643",0,0,0,0,0,0,0,0,0,0,2
"645",0,0,0,0,0,2,0,0,0,0,3
"648",0,0,0,0,0,0,0,5,0,0,1
"651",0,0,0,0,0,2,6,0,0,0,11
"652",0,0,0,0,0,0,5,0,0,0,0
"656",0,0,0,0,0,0,0,0,3,0,1
"658",0,0,0,0,0,0,0,1,1,0,0
"660",6,0,0,0,0,0,0,0,0,0,4
"665",0,0,0,0,0,2,0,0,0,0,0
"668",0,0,0,0,0,0,0,0,2,0,0
"669",0,0,0,0,0,0,0,4,0,0,5
"673",0,0,0,0,0,0,0,1,0,0,2
"674",0,0,0,0,0,0,0,11,24,0,27
"676",0,0,0,0,0,0,0,0,41,0,0
"678",1,0,0,0,0,0,0,0,0,0,1
"681",0,0,0,0,0,0,0,0,10,0,7
"684",0,0,0,0,0,0,0,5,5,0,4
"686",0,0,0,0,0,0,0,18,3,0,19
"692",0,0,0,0,0,0,0,0,2,0,0
"694",0,0,0,0,0,0,0,0,6,0,3
"697",0,0,0,0,0,0,0,0,0,2,0
"698",5,0,0,0,0,0,0,0,0,0,1
"699",0,0,0,0,0,0,3,0,0,0,1
"704",0,0,0,0,0,0,0,0,4,0,0
"705",0,0,0,0,0,0,0,7,12,0,17
"709",4,0,0,0,0,0,0,0,0,0,0
"710",0,0,0,0,0,0,0,2,0,0,2
"711",1,0,0,0,0,0,0,0,0,0,1
"717",0,0,0,0,0,0,0,0,40,0,3
"718",0,0,0,0,0,0,0,0,0,0,2
"721",0,0,0,0,0,0,0,7,0,0,1
"725",0,0,0,0,0,0,0,0,6,0,2
"726",0,0,0,0,0,0,0,0,3,0,2
"732",2,0,0,0,0,0,0,0,0,0,0
"733",0,0,0,0,0,0,0,3,1,0,2
"735",0,0,0,0,0,0,0,0,4,0,1
"737",2,0,0,0,0,0,0,0,0,0,0
"738",0,0,0,0,0,0,0,3,8,0,4
"739",0,0,0,0,0,0,0,0,4,0,2
"740",0,0,0,0,0,1,0,8,14,0,9
"752",0,0,0,0,0,0,1,0,0,0,2
"755",4,0,0,0,0,0,1,0,0,0,1
"756",5,0,0,0,0,50,0,0,0,0,13
"760",0,0,0,0,0,0,3,0,0,0,6
"761",3,0,0,0,0,0,0,0,0,0,0
"762",0,0,0,0,0,0,0,0,0,0,2
"767",0,0,0,0,0,0,0,22,47,0,12
"768",0,0,0,0,0,0,0,0,2,0,5
"770",0,0,0,0,0,0,2,0,0,0,1
"771",0,0,0,0,0,0,0,0,2,0,3
"773",6,0,0,0,0,0,0,0,0,0,0
"778",0,0,0,11,0,5,0,0,0,0,7
"779",0,0,0,0,0,0,0,0,0,0,2
"782",0,0,0,0,0,0,0,5,0,0,2
"784",0,0,0,0,0,0,1,0,0,0,2
"785",0,0,1,0,0,0,0,39,26,0,9
"790",0,0,0,0,0,0,0,0,7,0,0
"793",0,0,0,0,0,0,0,0,1,0,1
"794",0,0,0,0,0,0,0,0,2,0,0
"795",0,0,0,0,0,0,0,1,8,0,5
"797",0,0,0,0,0,0,1,0,0,0,1
"800",0,0,0,0,0,0,0,1,0,0,3
