"","Baso_lk","Ccr7DC_lk","Eos_lk","Erythroid_lk","Lymphoid_lk","Mast_lk","Meg_lk","Monocyte_lk","Neutrophil_lk","pDC_lk","Undifferentiated_lk","Baso_lsk","Ccr7DC_lsk","Eos_lsk","Erythroid_lsk","Lymphoid_lsk","Mast_lsk","Meg_lsk","Monocyte_lsk","Neutrophil_lsk","pDC_lsk","Undifferentiated_lsk"
"1064_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1065_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"1066 _lk",0,0,0,0,0,0,0,12,1,0,7,0,0,0,0,0,0,0,0,0,0,0
"1067_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,7
"1068_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1069_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
"107_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1070_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1071 _lk",0,0,1,13,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"1072_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1073 _lk",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"1074_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"1075 _lk",0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
"1076_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"1077 _lk",0,0,0,0,1,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"1078_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2
"1079 _lk",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"108_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1080_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1081 _lk",0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"1082_lsk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1083 _lk",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
