"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"528",0,0,0,0,0,0,0,0,1,0,1
"529",0,0,0,0,0,0,0,6,2,0,3
"531",0,0,0,0,0,0,0,0,0,0,2
"532",16,0,0,0,0,0,0,0,0,0,3
"533",0,0,0,0,0,0,0,0,1,0,2
"534",0,0,0,0,0,0,0,0,0,0,13
"535",0,0,0,0,0,0,0,5,0,0,0
"537",0,0,0,0,0,0,0,0,0,0,2
"539",0,0,0,0,0,0,0,0,0,0,9
"540",0,0,0,0,0,0,0,4,0,0,0
"541",0,0,0,0,0,0,0,0,0,0,3
"542",0,0,0,0,0,0,0,0,0,0,2
"543",0,0,0,0,0,0,1,0,0,0,3
"546",0,0,0,0,0,0,0,0,0,0,2
"547",0,0,0,0,0,0,0,0,0,0,2
"550",0,0,0,0,0,0,0,5,0,0,5
"551",0,0,0,0,1,0,0,0,0,0,1
"552",1,0,0,0,0,0,0,0,0,0,1
"553",0,0,0,0,0,0,0,10,1,0,7
"554",0,0,0,0,0,0,0,0,0,0,2
"555",0,0,0,0,0,0,0,0,0,0,10
"557",0,0,0,0,0,0,0,1,0,0,9
"558",0,0,0,0,1,0,0,15,0,0,7
"559",0,0,0,0,0,0,0,0,0,0,6
"560",0,0,0,0,0,0,0,0,0,0,14
"561",0,0,0,0,0,0,0,0,21,0,5
"565",0,0,0,0,0,0,0,0,0,0,5
"566",0,0,0,0,0,0,0,0,4,0,4
"568",0,0,0,0,0,0,0,0,7,0,6
"570",0,0,0,0,0,0,0,20,0,0,3
"575",0,0,0,0,0,0,0,2,2,0,8
"576",0,0,0,0,0,0,0,0,1,0,6
"579",0,0,0,0,0,1,0,0,0,0,6
"580",0,0,0,0,0,0,0,6,0,0,9
"582",0,0,0,0,0,0,0,0,0,0,9
"583",0,0,0,0,0,0,0,0,5,0,2
"584",4,0,0,0,0,0,0,0,0,0,0
"585",0,0,0,0,0,0,0,2,0,0,0
"586",0,0,0,0,0,0,0,0,0,0,4
"587",0,0,0,0,0,0,0,1,0,0,1
"588",0,0,0,0,0,0,0,0,0,0,4
"590",0,0,0,0,1,0,0,0,0,0,2
"596",0,0,0,0,0,0,0,0,0,0,4
"598",0,0,0,0,0,0,0,1,2,0,0
"600",0,0,0,0,0,0,0,0,0,0,5
"601",0,0,0,0,0,0,0,0,2,0,10
"602",0,0,0,0,0,0,0,0,0,0,2
"604",0,0,0,0,1,0,0,0,0,0,1
"605",0,0,0,0,0,0,0,1,3,0,4
"606",0,0,0,0,0,0,0,9,0,0,4
"607",0,0,0,0,0,0,0,5,0,0,6
"608",0,0,0,0,0,0,0,0,0,0,3
"609",0,0,0,0,0,0,0,2,0,0,5
"611",0,0,0,0,0,0,0,0,0,0,3
"612",0,0,0,0,0,0,0,1,0,0,1
"613",0,0,0,0,0,0,0,3,1,0,1
"614",0,0,0,0,0,0,0,0,0,0,5
"619",0,0,0,0,0,0,0,0,0,0,5
"621",0,0,0,0,0,0,0,0,0,0,5
"622",0,2,0,0,0,0,0,1,0,0,3
"623",0,0,0,0,0,0,0,3,0,0,1
"624",0,0,0,0,0,0,0,0,2,0,3
"628",0,0,0,0,0,0,0,0,0,0,11
"629",0,0,0,0,0,0,0,0,0,0,6
"631",0,0,0,0,0,0,0,2,0,0,3
"632",0,0,0,0,0,0,0,0,0,0,4
"635",0,0,0,0,0,0,0,8,0,0,2
"636",0,0,0,0,0,0,0,0,0,0,8
"637",11,0,0,0,0,0,0,0,0,0,6
"639",0,0,0,0,0,0,0,0,0,0,2
"640",0,0,0,0,2,0,0,0,0,0,2
"642",0,0,0,0,0,0,0,7,1,0,6
"644",0,0,0,0,0,0,0,0,0,0,16
"646",0,0,0,0,0,0,0,0,0,0,7
"647",0,0,0,0,0,0,0,1,0,0,1
"649",0,0,0,0,4,0,0,0,0,0,9
"650",0,0,0,0,0,0,0,0,1,0,5
"653",0,0,0,0,0,0,0,0,0,0,2
"654",0,0,0,0,0,0,0,0,0,0,3
"655",0,0,0,0,0,0,0,1,0,0,4
"657",0,0,0,0,0,0,0,0,0,0,2
"659",0,0,0,0,0,0,0,0,0,0,3
"661",0,0,0,0,0,0,0,0,0,0,5
"662",0,0,0,0,0,0,0,3,0,0,0
"663",2,0,0,0,0,0,0,0,0,0,0
"664",0,0,0,0,0,0,0,0,0,0,2
"666",0,0,0,0,0,0,0,0,13,0,8
"667",0,0,0,0,0,0,0,0,0,0,7
"670",0,0,0,0,0,0,0,0,0,0,3
"671",1,0,0,0,0,0,0,0,0,0,1
"672",0,0,0,0,0,0,0,0,0,0,2
"675",0,0,0,0,0,0,1,0,0,0,7
"677",0,0,0,0,0,0,0,0,6,0,8
"679",0,0,0,0,0,0,0,0,0,0,9
"680",0,0,0,0,0,0,0,1,0,0,1
"682",0,0,0,0,0,0,0,27,0,0,23
"683",0,0,0,0,0,0,0,0,2,0,0
"685",0,0,0,0,0,0,0,16,0,0,9
"687",0,0,0,0,0,0,0,0,0,0,3
"688",0,0,0,0,0,0,0,0,0,0,2
"689",9,0,0,0,0,0,0,0,0,0,0
"690",17,0,0,0,0,0,0,0,0,0,8
"691",0,0,0,0,0,0,0,0,0,0,2
"693",0,0,0,0,0,0,0,0,0,0,3
"695",0,0,0,0,0,0,0,6,0,0,1
"696",0,0,0,0,0,0,0,2,0,0,0
"700",0,0,0,0,0,0,0,0,1,0,2
"701",5,0,0,0,0,0,0,0,0,0,0
"702",0,0,0,0,0,0,0,5,0,0,3
"703",0,0,0,0,0,0,0,0,0,0,4
"706",0,0,0,0,0,0,0,2,0,0,0
"707",0,0,0,0,0,0,0,12,5,0,3
"708",0,0,0,0,0,0,0,0,0,0,3
"712",0,0,0,0,0,0,0,0,0,0,2
"713",16,0,0,0,0,0,0,0,0,0,2
"714",0,0,0,0,0,0,0,0,0,0,19
"715",0,0,0,0,0,0,0,0,3,0,3
"716",0,0,0,0,0,0,0,0,0,0,2
"719",0,0,0,0,0,0,0,0,0,0,2
"720",0,0,0,0,0,0,0,0,0,0,6
"722",0,0,0,0,0,0,0,6,1,0,8
"723",0,0,0,0,0,0,0,0,0,0,21
"724",0,0,0,0,0,0,0,0,0,0,3
"727",0,0,0,0,0,0,0,0,0,0,7
"728",0,0,0,0,0,0,0,0,0,0,2
"729",0,0,0,0,0,0,0,0,0,0,2
"730",0,0,0,0,0,0,0,0,0,0,2
"731",0,0,0,0,0,0,0,0,0,0,3
"734",2,0,0,0,0,0,0,0,0,0,0
"736",0,0,0,0,0,0,0,2,0,0,3
"741",2,0,0,0,0,0,0,0,0,0,10
"742",0,0,0,0,0,0,0,0,0,0,3
"743",0,0,0,0,0,0,0,0,0,0,3
"744",0,0,0,0,0,0,0,2,0,0,1
"745",0,0,0,0,0,0,0,4,0,0,1
"746",0,0,0,0,0,0,0,0,1,0,3
"747",0,0,0,0,0,0,0,2,0,0,6
"748",0,0,0,0,0,0,0,0,0,0,8
"749",0,0,0,0,0,0,0,0,6,0,8
"750",0,0,0,0,0,0,0,0,2,0,0
